store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
Gain City,IMM Building,CapitaLand,unit-03-14,03,"Department, Value & Outlet",Outlet,,False,False,"Gain City retails a wide range of consumer electronics and consumer appliances. We also offer excellent installation, maintenance and repair services with our certified technicians.",,capitaland-api
Giant Hypermarket,IMM Building,CapitaLand,unit-01-100,01,Supermarket & Convenience,Supermarket & Specialty Mart,,False,False,"Offering the largest assortment of fresh grocery & general merchandise items in an extensive one-stop hypermarket, Giant caters to all your household needs with our range of household products, electronics, apparels & more.",,capitaland-api
Gingersnaps Outlet,IMM Building,CapitaLand,unit-02-45,02,"Department, Value & Outlet",Outlet,Children's Wear,False,False,"Gingersnaps, built on a deep passion for creating trendy, global, fashion-forward designs for children and maternity wear, believes in creating a complete experience from the clothes, store setting, service, packaging and visual merchandising.",,capitaland-api
Goldlion Outletshop,IMM Building,CapitaLand,unit-01-30,01,Fashion & Accessories,Fashion,Accessories,False,False,"At Goldlion Outlet store, discover quality men's apparel and accessories at marked down prices.",,capitaland-api
Hei Sushi,IMM Building,CapitaLand,unit-01-k10,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"Conceived by the same Innovative Food People who brought Sakae Sushi to the world, Hei Sushi is proud to remain the first and only Halal Japanese belt sushi restaurant in Singapore. Hei sushi Kiosk is the answer for everyone who loves healthy and tasty Japanese food on the go.",,capitaland-api
H M Gallery Outlet,IMM Building,CapitaLand,unit-02-59,02,"Department, Value & Outlet",Outlet,,False,False,"H.M Gallery helps to integrate indoor and outdoor spaces with our cleverly designed home essentials such as curtains, blinds, bed linen, and customized fabrics that meets the ever changing needs of today's home and work places.",,capitaland-api
Hoe Kee,IMM Building,CapitaLand,unit-03-08,03,"Department, Value & Outlet",Outlet,,False,False,"Hoe Kee is Singapore's one stop solution for sanitary ware, bath & kitchen accessories & home appliances. We carry a huge range of products that will provide for all your home appliance needs.",,capitaland-api
M1,IMM Building,CapitaLand,unit-01-53,01,Services,Services,Telecommunications,False,False,"M1 is a leading full-service provider of mobile and fixed communication services. We offer a full range of voice, data and value-added services over our mobile and broadband networks.",,capitaland-api
Maybank ATM,IMM Building,CapitaLand,unit-01-c12,01,Services,Services,ATMS & Banks,False,False,Maybank ATM provides Banking services 24/7 and is available for cash withdrawal and deposit.,,capitaland-api
Mayer Outlet,IMM Building,CapitaLand,unit-02-66,02,"Department, Value & Outlet",Outlet,,False,False,"Mayer, a lifestyle home boutique store, showcases the world's finest kitchen brands. Our kitchen appliances are synonymous with high performance, premium quality & durability & promise to enhance any beautiful home with their functional beauty.",,capitaland-api
Mondi Lifestyle Gallery,IMM Building,CapitaLand,unit-03-25,03,"Department, Value & Outlet",Outlet,,False,False,"Mondi Lifestyle promises to redefine homes to a whole new level. It comprises modern, chic and fashionable furniture to spruce up your homes.",,capitaland-api
Mr Decor Furniture Gallery,IMM Building,CapitaLand,03-29,03,"Department, Value & Outlet",Outlet,,False,False,"Mr Decor Furniture Gallery is dedicated to providing customers with beautiful and high quality furniture by using the harmony of forms, materials and colors to every possibility.",,capitaland-api
Nailz Haus & Donna Beauty,IMM Building,CapitaLand,unit-02-29-30,02,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,Nailz Haus is the leading local nail specialist in the beauty and wellness industry. Nailz Haus strives to beautify the world through skincare and cosmetics. Our beauticians provide extensive beauty services & treat customers with the best care.,,capitaland-api
New Balance Outlet,IMM Building,CapitaLand,unit-02-42,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"New Balance offers superior footwear & athletic apparel manufactured to fit each athlete with the performance enhancer they need. At New Balance Outlet, find a variety of off-season footwear, apparel & accessories at discounted prices.",,capitaland-api
Nike Unite IMM,IMM Building,CapitaLand,unit-02-50,02,Sports & Fitness,Sports,Sports Apparel,False,False,,,capitaland-api
NOVELA Outlet,IMM Building,CapitaLand,unit-02-41,02,Beauty & Wellness,Beauty & Wellness,Cosmetics & Fragnances,False,False,"Home to countless high quality fragrances and cosmetics, Novela Outlet is your one-stop shop for affordable beauty picks and body scents!",,capitaland-api
OCBC ATM,IMM Building,CapitaLand,01-c11,01,Services,Services,ATMS & Banks,False,False,"OCBC ATM provides cash withdrawal and deposit services to customers, supporting both Mastercard and Visa cash withdrawal.",,capitaland-api
Ogawa Outlet,IMM Building,CapitaLand,unit-02-57a,02,"Department, Value & Outlet",Outlet,Health & Personal Care,False,False,"With forefrontal expertise on the development, design & marketing of its wellness equipments, Ogawa is committed to encourage and spread the importance of adopting a healthier lifestyle.",,capitaland-api
Old Chang Kee,IMM Building,CapitaLand,unit-01-35,01,Food & Beverage,Food & Beverage,Fast Food,True,False,"Famous for its curry puffs that are filled with perfectly spiced curry potatoes, chicken and egg, Old Chang Kee has expanded its menu to include a variety of finger foods & light bites that can curb those hunger pangs on the go!",,capitaland-api
Onitsuka Tiger Outlet,IMM Building,CapitaLand,unit-02-47,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"Onitsuka Tiger brings across the unmistakable blend of Japanese heritage and modern panache through all their products. Come by its factory outlet in CapitaLand mall, IMM today!",,capitaland-api
OSIM Outlet,IMM Building,CapitaLand,unit-02-40,02,"Department, Value & Outlet",Outlet,Health & Personal Care,False,False,"Osim retails healthcare products that focuses on helping you Relax & Relieve, Tone & Shape, Clean & Purify, & Check & Measure. Based upon our interpretation of an integrated approach to a healthy lifestyle, our products like the OSIM Massagers & Massage Chairs are designed to help you adopt healthier living.",,capitaland-api
Outlet by Club 21,IMM Building,CapitaLand,unit-01-123,01,Fashion & Accessories,Fashion,Apparel,False,False,"With many international designer fashion labels under its roof, Outlet by Club 21 features a curated collection of men’s and women’s apparel & accessories from past seasons at exceptional savings.",,capitaland-api
OWNDAYS Outlet,IMM Building,CapitaLand,unit-01-11-12,01,"Department, Value & Outlet",Outlet,Sunglasses & Optical,False,False,"Capped at a price of just $198, Owndays' glasses are fitted with high index aspheric lenses at no additional cost! Find more stylish and discounted eyewear at Owndays Outlet.",,capitaland-api
PEDRO Outlet,IMM Building,CapitaLand,unit-02-48,02,Fashion & Accessories,Fashion,Bags & Shoes,False,False,"Pedro Outlet offers contemporary footwear, bags, belts, wallets and ties with standout designs for men; while the women's collection offers a diverse line of footwear resonating elegance & sophistication.",,capitaland-api
Poh Heng Jewellery,IMM Building,CapitaLand,unit-01-25,01,Fashion & Accessories,Fashion,Jewellery & Watches,False,False,"Poh Heng Jewellery designs are classic in different types of gold and we also have collections everyone will love, such as Disney and Hello Kitty.",,capitaland-api
Pontian Mee,IMM Building,CapitaLand,unit-02-37,02,Food & Beverage,Food & Beverage,Restaurant,True,False,"If you love deep fried crispy Wanton with savory-sweet Charsiew BBQ Pork resting on a bowl of chewy sauce-drenched noodles, then Pontian Wanton Noodles is just the place to eat at! Share an extra plate of fried wantons around the table at this casual eatery.",,capitaland-api
PUMA Outlet,IMM Building,CapitaLand,unit-02-06,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"PUMA offers performance & sport-inspired lifestyle products in categories such as apparels for Football, Running and Training, Golf, and Motorsports.",,capitaland-api
Rabeanco Outlet,IMM Building,CapitaLand,unit-02-49,02,Fashion & Accessories,Fashion,Bags & Shoes,False,False,"With colours to match every mood and favourites available in new textures every season, Rabeanco handbags perfectly complement the contemporary wardrobe. Check out steals at the Rabeanco Outlet.",,capitaland-api
Rattan Pacific,IMM Building,CapitaLand,unit-03-22,03,"Department, Value & Outlet",Outlet,,False,False,Rattan Pacific is a home furnishing shop that retails furniture made from premium rattan and bamboo.,,capitaland-api
Red Apple,IMM Building,CapitaLand,unit-03-19,03,"Department, Value & Outlet",Outlet,,False,False,"Featuring a contemporary collection of Italian influenced furniture and woodworks, Red Apple retails dining tables, sofas and accent pieces that will draw all eyes to your room.",,capitaland-api
REGA,IMM Building,CapitaLand,unit-03-17,03,"Department, Value & Outlet",Outlet,,False,False,"REGA provides the latest quality decorative lighting, fan & water heater for your home covering a range of styles and budgets. Our products are both decorative & functional.",,capitaland-api
Saap Saap Thai,IMM Building,CapitaLand,01-48,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Saap Saap Thai, a Halal Thai Restaurant, brings across the true essence of Thai Cuisine by featuring Authentic Street Side Fried Chicken, Stir Fried Rice Dishes with a twist, Thai Noodles served in aromatic, original Thai flavored broth with slices of meat cooked to perfection, Thai Boat Noodles and much more.",,capitaland-api
Safewell,IMM Building,CapitaLand,unit-01-34,01,"Department, Value & Outlet",Outlet,,False,False,"Safewell will be your trusted brand for the safekeeping of valuable items at home. Safewell is a specialist in the Safe box, Jewellery box and Watch Winder business.",,capitaland-api
Samsonite Factory Outlet,IMM Building,CapitaLand,unit-02-26,02,Fashion & Accessories,Fashion,Travel & Coldwear,False,False,"Utilising top designer expertise from around the globe, Samsonite creates unparalleled products that fulfill the travel and lifestyle needs of the sophisticated traveller. At the Samsonite Factory Outlet at IMM, you can find past season collections.",,capitaland-api
Sealy Sleep Boutique,IMM Building,CapitaLand,unit-03-05,03,"Department, Value & Outlet",Outlet,,False,False,"With mattresses that make you feel like royalty at home, you will never want to leave Sealy Sleep boutique without bringing one home. We offer different comfort feels to cater to everyone's preference.",,capitaland-api
Seimon-Cho Outlet,IMM Building,CapitaLand,unit-02-45a,02,"Department, Value & Outlet",Outlet,"Mums, Babies & Toys",False,False,Your one stop shop for Japanese lifestyle products!,,capitaland-api
Seoul Garden HOTPOT,IMM Building,CapitaLand,01-95,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Seoul Garden makes it its top priority to deliver Korean style hot pots of great nutritional values. Outlet @ CapitaLand mall - Bedok Mall & IMM.,,capitaland-api
SF FRUITS,IMM Building,CapitaLand,unit-01-84,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,SF fruits is a food kiosk that delivers superior quality cut fruits and fruit juices at a value-for-money price positioning.,,capitaland-api
Shihlin Taiwan Street Food,IMM Building,CapitaLand,unit-01-k03,01,Food & Beverage,Food & Beverage,Fast Food,True,False,"Shihlin Taiwan Street Food is a food kiosk selling light bites. Featuring popular snacks from Taiwan's night markets such as XXL Crispy Chicken, Crispy Floss Egg Crepe, Handmade Oyster Mee Sua & Seafood Tempura, save a flight & take a bite!",,capitaland-api
Simmons Gallery,IMM Building,CapitaLand,unit-03-04,03,"Department, Value & Outlet",Outlet,,False,False,"Never have another sleepless night when you shop at Simmons Gallery, a home & bedding specialist. Take your pick from our different series of mattresses which target to improve different aspects of your sleep quality.",,capitaland-api
Sim Siang Choon,IMM Building,CapitaLand,unit-03-10,03,"Department, Value & Outlet",Outlet,,False,False,"Sim Siang Choon, a home and furnishing shop, is a specialist retailer of bathroom, kitchen and home-improvement products in Singapore.",,capitaland-api
Singapore Pools,IMM Building,CapitaLand,unit-02-63,02,Services,Services,,False,False,Singapore Pools is Singapore’s only legal lottery operator. We provide a legal avenue for betting in Singapore to counter illegal betting syndicates.,,capitaland-api
Skechers Outlet,IMM Building,CapitaLand,"unit-02-55-56, unit-02-58",02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"Take your pick of comfortable & fashionable footwear at the Skechers Outlet store. Whatever your need is, we have a pair to walk the mile with you!",,capitaland-api
SK JEWELLERY,IMM Building,CapitaLand,unit-01-26-27,01,Fashion & Accessories,Fashion,Jewellery & Watches,False,False,"With a strong belief that every woman deserves to shine, SK Jewellery works with the most experienced craftsmen with artisanal jewellery-making skills to create exquisite & unique jewellery.",,capitaland-api
SLEEPNIGHT Mattress Boutique,IMM Building,CapitaLand,unit-03-53,03,"Department, Value & Outlet",Outlet,,False,False,"SleepNight Mattress Boutique is a home and bedding shop that uses advanced spring coils, high grade upholstery layers and an innovative combination of arts and technology to cajole you into deep sleep.",,capitaland-api
Slumberland,IMM Building,CapitaLand,unit-03-06,03,"Department, Value & Outlet",Outlet,,False,False,"Taking care of all your furniture needs, Slumberland carries a series of living room, dining room and bedroom pieces that will brighten up your home. We are the leading premium beddings brand.",,capitaland-api
Song-Cho,IMM Building,CapitaLand,unit-03-09,03,"Department, Value & Outlet",Outlet,,False,False,Song-Cho carries a wide range of ready-made stainless steel products for both kitchen and bathroom. They are a one-stop kitchen and bathroom integrated-solution provider.,,capitaland-api
Space N Living,IMM Building,CapitaLand,unit-03-28a,03,"Department, Value & Outlet",Outlet,,False,False,"Popular amongst the younger crowd who want that special touch of finesse and designer chic for their homes, Space N Living provides interior design services for compact HDBs to large scale properties.",,capitaland-api
Spacious Planners,IMM Building,CapitaLand,unit-03-31,03,"Department, Value & Outlet",Outlet,,False,False,"Reputed for innovative interior design services and quality workmanship, Spacious Planners provides complete furnishing services tailored to suit each individual client's space.",,capitaland-api
Star Living,IMM Building,CapitaLand,unit-03-20,03,"Department, Value & Outlet",Outlet,,False,False,Star Living carries a comprehensive range of contemporary value-for-money furniture and furnishings in a combination of style and functionality.,,capitaland-api
Subway,IMM Building,CapitaLand,01-94,01,Food & Beverage,Food & Beverage,Breakfast,True,False,"Subway is a fast food restaurant serving sandwiches, wraps and salads. Enjoy gourmet cold cut deli on herbs-infused bread with a generous serving of nutritious greens drizzled with decadent low fat dressings.",,capitaland-api
Sunglass Hut Outlet,IMM Building,CapitaLand,01-k16,01,Fashion & Accessories,Fashion,Sunglasses & Optical,False,False,"At Sunglass Hut, our mission is to be the premier shopping & inspiration destination for the top brands, latest trends & exclusive styles of high quality fashion and performance sunglasses.",,capitaland-api
Sushi Express,IMM Building,CapitaLand,unit-02-64,02,Food & Beverage,Food & Beverage,Restaurant,True,False,"Sushi Express is fast becoming the most recognisable sushi restaurant in Singapore for serving fresh, delicious sushi at affordable prices. Enjoy more than 60 sushi varieties with everything at $1.5++/plate!",,capitaland-api
Swensen's,IMM Building,CapitaLand,01-92to93,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Satisfy your cravings at Swensen's, the Western restaurant with a wide selection of hearty food, sundaes & ice cream cakes! Try signatures like Fish & Chips, Mac 'N' Cheese & locally-inspired Crab Meat Fried Rice! End your meal on a sweet note with Swensen's favorite sundaes like Sticky Chewy Chocolate or Banana Split!",,capitaland-api
The Coffee Bean & Tea Leaf,IMM Building,CapitaLand,unit-01-126,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"The Coffee Bean & Tea Leaf® is the oldest and largest specialty coffee and tea retailer in the United States, known for sourcing and providing the finest ingredients and flavours from around the world. The Coffee Bean & Tea Leaf® is also Halal-certified.",,capitaland-api
The Travel Store Outlet,IMM Building,CapitaLand,unit-02-28,02,Fashion & Accessories,Fashion,Travel & Coldwear,False,False,"The Travel Store Outlet is where you can find discounted yet quality travel products, from luggages to laptop bags and all-weather apparel.",,capitaland-api
Timberland Outlet,IMM Building,CapitaLand,01-02to04,01,Fashion & Accessories,Fashion,Apparel,False,False,Timberland Outlet is the place to find long-lasting & durable footwear at discounted prices. Here you'll find our classic boatshoes and apparel such as plaid shirts.,,capitaland-api
Triumph Outlet,IMM Building,CapitaLand,unit-02-46,02,Fashion & Accessories,Fashion,Apparel,False,False,"At Triumph Outlet, find seductive lingerie and even high-performance functional intimate sportswear at discounted prices.",,capitaland-api
U-Home Interior Design,IMM Building,CapitaLand,"unit-03-02a, unit-03-02b",03,"Department, Value & Outlet",Outlet,,False,False,U-Home Interior has an experienced and creative team of interior designers and dedicated project coordinators to provide you the best advice and services for renovation & consultancy.,,capitaland-api
Under Armour Outlet,IMM Building,CapitaLand,02-03-to-04,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"At Under Armour, our mission is simple: to make all athletes better through passion, design, and the relentless pursuit of innovation. Our team works to build the world’s most innovative performance products.",,capitaland-api
Unisprings,IMM Building,CapitaLand,unit-03-03,03,"Department, Value & Outlet",Outlet,,False,False,"Unisprings is a firm believer that a good night's rest starts from selecting the right mattress. All our mattresses and bed frames are tailored to ensure comfort, support & durability for a peaceful sleep.",,capitaland-api
UOB ATM,IMM Building,CapitaLand,unit-01-c1,01,Services,Services,ATMS & Banks,False,False,UOB ATMs offer convenient personal banking services such as cash deposit & cash withdrawal.,,capitaland-api
Wan Chai Hong Kong Tea Room,IMM Building,CapitaLand,unit-03-51,03,Food & Beverage,Food & Beverage,Breakfast,True,False,"Wan Chai HK Tea Room is an eatery that whips up a variety of fusion dishes. On top of Cantonese favourites & Hong Kong street eats, try the Baked Seafood Rice with Wasabi Cheese!",,capitaland-api
Watsons,IMM Building,CapitaLand,unit-01-54-55,01,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,"Watsons, a Health & Personal Care chain, carries a variety of body wellness and beauty products to make looking good and feeling good convenient to all its customers. Now includes services such as medication dispensing.",,capitaland-api
Winter Time Outlet,IMM Building,CapitaLand,unit-02-27,02,Fashion & Accessories,Fashion,Travel & Coldwear,False,False,"If you're travelling, get your thermal wear and winter apparel at Winter Time Outlet, which offers factory outlet prices.",,capitaland-api
Ya Kun Kaya Toast,IMM Building,CapitaLand,unit-01-50,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"<div><span style=""font-size: 13px;"">Founded in 1944 by Mr Loi Ah Koon, an immigrant from China’s Hainan Island, the first Ya Kun Kaya Toast coffee stall was located in the old commercial district of Singapore. The stall’s simple fare of charcoal-grilled Kaya toast, soft-boiled eggs and traditionally-brewed coffee and tea were perennial favourites with regular customers who were fellow immigrants.</span></div><div><span style=""font-size: 13px;""><br></span></div><div><span style=""font-size: 13px;"">Since its inception in 1944, Ya Kun has thrived as a customer friendly business with a strong focus on excellent customer service, traditional coffee brew and toast, and our proprietary “YA KUN KAYA”. Our customers do not simply consume Kaya toast, they also savour an entirely unique local experience with a dose of nostalgia.</span></div>",,capitaland-api
OTO Outlet,IMM Building,CapitaLand,unit-02-34-35,02,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,OTO has 40 years of experience in creating innovative healthcare products that are synonymous with high quality and effective wellness at accessible prices.,,capitaland-api
White Restaurant,IMM Building,CapitaLand,02-24,02,Food & Beverage,Food & Beverage,Restaurant,True,False,White Restaurant’s The Original White Beehoon has became an iconic dish unique to Singapore. We strive to provide the best of affordable local dining to Singaporeans in a comfortable restaurant setting.,,capitaland-api
kate spade new york outlet,IMM Building,CapitaLand,01-109,01,Fashion & Accessories,Fashion,Bags & Shoes,False,False,"<div><div><span style=""font-size: 0.8125rem;"">Kate Spade’s founding principles can be found in its unique style for each and every product that is made synonymous with joy. From its renown designer bags to its jewellery and clothing line, focus is placed into thoughtful details, striving to achieve a layer of polished ease that is chic, modern and sophisticated.&nbsp;</span><br></div><div><br></div><div>Crisp colors, graphic prints and playful sophistication are the hallmarks of Kate Spade New York. Be it bags, clothing, jewellery, fashion accessories, eyewear, shoes, or gifts, its exuberant approach to the everyday encourages personal style with a dash of incandescent charm.</div></div><div><br></div><div>Visit Kate Spade New York Outlet at IMM and enjoy everyday discounts.</div><div></div>",,capitaland-api
Michael Kors by BuyBye Valiram Fashion Outlet,IMM Building,CapitaLand,"01-125, unit-01-105",01,"Department, Value & Outlet",Outlet,Bags & Shoes,False,False,"Find Michael Kors' fabulous luxury bags, clothing and accessories at exclusive prices at BuyBye Valiram Fashion Outlet located in CapitaLand mall, IMM.",,capitaland-api
Posh Living,IMM Building,CapitaLand,unit-03-28b,03,"Department, Value & Outlet",Outlet,,False,False,"Posh Living, an interior design company, is about unique, creative and innovative furnishing. Our main goal is to create an environment best suited to your personality, lifestyle and selections.",,capitaland-api
Eubiq,IMM Building,CapitaLand,unit-02-62,02,"Department, Value & Outlet",Outlet,,False,False,<br>,,capitaland-api
Fu Lin Fried Yong Tofu,IMM Building,CapitaLand,unit-01-47,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Fu Lin Restaurant is synonymous with the freshest ingredients that make up the delectable dish - yong tau foo. Over at Fu Lin, there is a huge selection of ingredients for you to choose from, served in soup, dry or curry base.",,capitaland-api
The North Face Outlet,IMM Building,CapitaLand,unit-02-05,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,"The North Face IMM stands out as Singapore's only factory outlet store, offering exclusive deals on premium outdoor gear. Discover a wide range of outdoor essentials and gear up for your next adventure without breaking the bank.",,capitaland-api
Melissa Outlet,IMM Building,CapitaLand,02-49a,02,"Department, Value & Outlet",Outlet,Bags & Shoes,False,False,Melissa Outlet is a shoe store specializing in women's footwear to give a perfect fit for every customer.,,capitaland-api
GUESS Outlet,IMM Building,CapitaLand,01-115-to-116,01,Fashion & Accessories,Fashion,Apparel,False,False,"<div>Established in 1981, GUESS began as a jeans company and has since successfully grown into a global lifestyle brand. Today, GUESS designs, markets and distributes full collections of women’s, men’s and children’s apparel as well as accessories. GUESS become a symbol of adventurous, sexy and American styles.</div>",,capitaland-api
Jas-Indulge,IMM Building,CapitaLand,unit-02-33,02,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"<div><span style=""font-size: 0.8125rem;"">At Jas-Indulge, we are dedicated to every detail, from our earnest service to the hygiene practice, with the ultimate aim of sending all our customers into a state of unadulterated bliss.</span><br></div><div><div><br></div><div>Jas-Indulge provides a wide range of grooming services such as waxing, manicure and pedicure, eyelash extension and perm, as well as massages. You will sure be spoilt for choice!</div></div>",,capitaland-api
FILA Outlet,IMM Building,CapitaLand,unit-02-01,02,"Department, Value & Outlet",Outlet,Sports Apparel,False,False,FILA is globally renowned for high-end sportswear and fashion clothing. Come try on unsurpassed quality clothing at its outlet in Singapore @ CapitaLand malls - IMM & Westgate.,,capitaland-api
Kipling Outlet,IMM Building,CapitaLand,unit-01-01,01,Fashion & Accessories,Fashion,Bags & Shoes,False,False,<div>Kipling invites you to live life to the fullest enabled by its lightweight and transformable products that promise to put an extra spring to your step!&nbsp;</div>,,capitaland-api
Smartbox,IMM Building,CapitaLand,unit-03-26,03,"Department, Value & Outlet",Outlet,,False,False,"<div>SmartBox is a brand new private brand launched in 2011, producing&nbsp;<span style=""font-size: 0.8125rem;"">creative cabinets and customising&nbsp;</span><span style=""font-size: 0.8125rem;"">products upon customers’ requests.&nbsp;</span></div><div><br></div><div>SmartBox has been using German technology-made ‘Melamine’ to manufacture their furniture. Presently, they are the only furniture maker in Singapore to use this 100% synchronize emboss MFC melamine, allowing them to win many accolades from retailers and end users alike.</div><div><br></div>",,capitaland-api
Aartical,IMM Building,CapitaLand,unit-03-21,03,"Department, Value & Outlet",Outlet,,False,False,"<div><span style=""font-size: 0.8125rem;"">Aartical is a collection of home furniture designed for the contemporary lifestyle by contemporary makers, thinkers and dreamers.</span><br></div>",,capitaland-api
Victoria's Secret by BuyBye Valiram Fashion Outlet,IMM Building,CapitaLand,01-1080,01,Fashion & Accessories,Fashion,Apparel,False,False,"Victoria’s Secret is the world’s largest specialty intimates retailer offering a wide assortment of modern, fashion-inspired collections including signature bras, panties, lingerie, casual sleepwear and athleisure, as well as award-winning prestige fragrances and body care. With nearly 1,400 retail stores worldwide and a predominately female workforce of more than 25,000, Victoria’s Secret boasts the largest team of specialty trained bra fit experts worldwide. Victoria’s Secret is committed to inspiring women around the world with products and experiences that uplift and champion them and their journey while creating lifelong relationships and advocating for positive change.&nbsp;",,capitaland-api
Andes by Astons,IMM Building,CapitaLand,01-96,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Rooted in a rustic cowboy theme, ANDES by ASTONS offers top-quality, value-for-money steaks and Western fare. Halal-certified and MUIS-accredited, ANDES caters to our Muslim friends with delicious and affordable steak and Western cuisine in Singapore. As a sister restaurant to ASTONS Specialities, ANDES features a similar menu, using the same high-quality, fresh ingredients to provide generous portions. Our menu includes a diverse selection of steak cuts, chicken, and seafood, with most main courses accompanied by two side dishes of your choice, hot or cold. At ANDES, you'll find something to satisfy every palate—great food, great prices, and a fantastic atmosphere!",,capitaland-api
llaollao,IMM Building,CapitaLand,unit-01-42,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"Llao Llao serves soft creamy frozen yogurt covered with the finest toppings - from freshly chopped seasonal fruits to cereals and chocolate, balanced with a tad of crunchiness and dressed with a deliciously decadent sauce. This is the real yummy.",,capitaland-api
Dreams Studio,IMM Building,CapitaLand,03-30a,03,"Department, Value & Outlet",Outlet,,False,False,"With a wide variety of designer and functional furniture pieces as well as American branded mattresses, you will definitely be able to find something suitable for your dream home!",,capitaland-api
Mr. Coconut,IMM Building,CapitaLand,unit-01-k05,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,Mr. Coconut,,capitaland-api
TEMPUR,IMM Building,CapitaLand,unit-03-52,03,"Department, Value & Outlet",Outlet,,False,False,"<div>Experience a mattress like no other. Luxury mattress brand Tempur delivers the ultimate in sleep comfort&nbsp;<span style=""font-size: 0.8125rem;"">with its range of mattresses, pillows and beds.</span></div><div><span style=""font-size: 0.8125rem;""><br></span></div><div><span style=""font-size: 0.8125rem;"">Imported from Denmark, the NASA-certified Tempur&nbsp;</span><span style=""font-size: 0.8125rem;"">mattresses and pillows provide pressure-relieving comfort and personalised support as it conforms&nbsp;</span><span style=""font-size: 0.8125rem;"">perfectly to your body.</span></div>",,capitaland-api
Aventi Living,IMM Building,CapitaLand,unit-03-30,03,"Department, Value & Outlet",Outlet,,False,False,"Aventi Living features furniture pieces that are of quality, beautifully-designed and affordable at the same time.&nbsp;",,capitaland-api
Calvin Klein Outlet,IMM Building,CapitaLand,unit-01-120,01,Fashion & Accessories,Fashion,Apparel,False,False,"Calvin Klein is one of the most recognizable brands in fashion, whose philosophy of modern, sophisticated, and often minimal designs has remained a staple of fashion for over five decades.",,capitaland-api
Tommy Hilfiger Outlet,IMM Building,CapitaLand,unit-01-102,01,Fashion & Accessories,Fashion,Apparel,False,False,"TOMMY HILFIGER is one of the world’s most recognized premium lifestyle brands, uplifting and inspiring consumers since 1985. The brand creates iconic style, which comes alive at the intersection of the classic and the new, co-created with people who are shaping culture around the world. TOMMY HILFIGER celebrates the essence of classic American style with a modern twist. Tommy Hilfiger offers premium quality and value to consumers worldwide under the TOMMY HILFIGER and TOMMY JEANS lifestyles, with a breadth of collections including men’s, women’s and kids’ sportswear, denim, accessories, and footwear. Tommy Hilfiger has an unwavering commitment to sustainability and inclusivity.&nbsp;",,capitaland-api
EVISU Outlet,IMM Building,CapitaLand,unit-01-119,01,"Department, Value & Outlet",Outlet,Apparel,False,False,"EVISU was founded in Osaka Japan in 1991. EVISU captured the imagination of the detail-obsessed Japanese fashion crowed and spurred a revival of interest in vintage denim which spread around the world. Today EVISU has gained critical acclaim, as one of the ultimate denim must haves, is internationally known and embraced by both collectors and hipsters alike. EVISU was initially more a labour of love than a commercial venture and despite phenomenal success EVISU’s mission to create the highest quality products has remained unchanged. This underlying value defines EVISU’s position as an icon in the history of denim wear.",,capitaland-api
Bath & Body Works by BuyBye Valiram Fashion Outlet,IMM Building,CapitaLand,unit-01-106,01,"Department, Value & Outlet",Outlet,Cosmetics & Fragnances,False,False,"<span style=""font-size: 13px;"">We make the world a brighter, happier place through the power of fragrance. Bath &amp; Body Works is a global leader in personal care and home fragrance, including the #1 selling collections for fine fragrance mist, body lotion and body cream, 3-wick candles, home fragrance diffusers and liquid hand soap.&nbsp;Bath &amp; Body Works serves and delights customers however and wherever they want to shop, from welcoming, in-store experiences at more than 8 stores operating in Singapore.&nbsp;</span><br>",,capitaland-api
Wok Hey,IMM Building,CapitaLand,unit-01-k02,01,Food & Beverage,Food & Beverage,Fast Food,True,False,"If you like a good dish that brings out the heat and aroma of the wok, head down to the food kiosk Wok Hey, and experience the true stir fry with our signature Fried Rice, Ramen & Udon with your selection of toppings like Tobiko and Sous Vide Egg.",,capitaland-api
